elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering
104.40080261230469,0.0,0.0,-0.3400000035762787,-0.27000001072883606,0.0,0.0,0.0,0.2605263292789459,-1.0
104.50077056884766,0.0,0.0,-0.7699999809265137,-0.25999999046325684,-0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
104.60054779052734,0.0,0.0,-0.3499999940395355,-0.20000000298023224,-0.0,0.0,0.0,0.2605263292789459,-1.0
104.70033264160156,0.0,0.0,-0.2800000011920929,-0.36000001430511475,0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
104.80038452148438,0.0,0.0,-0.38999998569488525,-0.38999998569488525,-0.0,0.0,0.0,0.2605263292789459,-1.0
104.90038299560547,0.0,0.0,-0.23999999463558197,-0.30000001192092896,0.029999999329447746,0.0,0.0,0.2605263292789459,-1.0
105.00186157226562,0.0,0.0,-0.38999998569488525,-0.2800000011920929,-0.0,0.0,0.0,0.2605263292789459,-1.0
105.10099792480469,0.0,0.0,-0.2199999988079071,-0.20000000298023224,0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
105.20099639892578,0.0,0.0,-0.27000001072883606,-0.3100000023841858,0.0,0.0,0.0,0.2605263292789459,-1.0
105.30220031738281,0.0,0.0,-0.7400000095367432,0.2199999988079071,0.0,0.0,0.0,0.2605263292789459,-1.0
105.40303039550781,0.0,0.0,-0.4699999988079071,-0.5299999713897705,0.019999999552965164,0.0,0.0,0.2605263292789459,-1.0
105.50220489501953,0.0,0.0,-0.2199999988079071,-0.49000000953674316,0.019999999552965164,0.0,0.0,0.2605263292789459,-1.0
105.60254669189453,0.0,0.0,-0.4099999964237213,-0.33000001311302185,0.0,0.0,0.0,0.2605263292789459,-1.0
105.70122528076172,0.0,0.0,0.6600000262260437,-0.75,-0.15000000596046448,0.0,0.0,0.2605263292789459,-1.0
105.80093383789062,0.0,0.0,-1.4199999570846558,0.33000001311302185,0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
105.90078735351562,0.0,0.0,-0.5299999713897705,-0.47999998927116394,0.019999999552965164,0.0,0.0,0.2605263292789459,-1.0
106.000732421875,0.0,0.0,-0.49000000953674316,-0.3499999940395355,-0.0,0.0,0.0,0.2605263292789459,-1.0
106.10050964355469,0.0,0.0,0.36000001430511475,-0.009999999776482582,-0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
106.20033264160156,0.0,0.0,-0.25,-0.4000000059604645,0.0,0.0,0.0,0.2605263292789459,-1.0
106.30052185058594,0.0,0.0,-0.33000001311302185,-0.05999999865889549,0.019999999552965164,0.0,0.0,0.2605263292789459,-1.0
106.40056610107422,0.0,0.0,-0.7799999713897705,-0.5199999809265137,-0.05000000074505806,0.0,0.0,0.2605263292789459,-1.0
106.50069427490234,0.0,0.0,0.0,-0.09000000357627869,0.05000000074505806,0.0,0.0,0.2605263292789459,-1.0
106.60040283203125,0.0,0.0,-0.1599999964237213,-0.05000000074505806,-0.019999999552965164,0.0,0.0,0.2605263292789459,-1.0
106.70050048828125,0.0,0.0,-0.15000000596046448,0.20999999344348907,0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
106.80040740966797,0.0,0.0,-0.3799999952316284,-0.05999999865889549,0.029999999329447746,0.0,0.0,0.2605263292789459,-1.0
106.90029907226562,0.0,0.0,-0.9399999976158142,-1.2100000381469727,-0.09000000357627869,0.0,0.0,0.2605263292789459,-1.0
107.00045013427734,0.0,0.0,-0.550000011920929,-0.6299999952316284,0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
107.1005630493164,0.0,0.0,-0.7699999809265137,-0.05999999865889549,0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
107.20087432861328,0.0,0.0,-0.4699999988079071,-0.3100000023841858,-0.009999999776482582,0.0,0.0,0.2605263292789459,-1.0
107.30075073242188,0.0,0.0,0.009999999776482582,-0.6499999761581421,-0.05999999865889549,0.0,0.0,0.2605263292789459,-1.0
107.40032196044922,0.0,0.0,-0.5400000214576721,-0.3700000047683716,0.019999999552965164,0.0,0.0,0.2605263292789459,-1.0
107.50038146972656,0.0,0.0,-0.5099999904632568,-0.4099999964237213,-0.0,0.0,0.0,0.2605263292789459,-1.0
107.6005630493164,0.0,0.0,-0.47999998927116394,-0.2800000011920929,-0.0,0.0,0.0,0.2605263292789459,-1.0
107.70185852050781,0.0,0.0,-0.6100000143051147,-0.4399999976158142,0.0,0.0,0.0,0.2605263292789459,-1.0
107.80037689208984,0.0,0.0,-0.6200000047683716,-0.5,-0.0,0.0,0.0,0.2605263292789459,-1.0
107.90058135986328,0.0,0.0,-0.6100000143051147,-0.3400000035762787,0.0,0.0,0.0,0.2605263292789459,-1.0
108.0004653930664,0.0,0.0,-0.6299999952316284,-0.20000000298023224,-0.0,0.0,0.0,0.2605263292789459,-1.0
108.10029602050781,0.0,0.0,-0.5699999928474426,-0.23000000417232513,-0.05999999865889549,0.0,0.0,0.2605263292789459,-1.0
108.20052337646484,0.0,0.0,-0.49000000953674316,-0.30000001192092896,0.019999999552965164,0.0,0.0,0.2605263292789459,-1.0
108.30037689208984,0.0,0.0,-0.5600000023841858,-0.38999998569488525,-0.0,0.0,0.0,0.2605263292789459,-1.0
108.40050506591797,0.0,0.0,-0.6200000047683716,-0.20000000298023224,0.03999999910593033,0.0,0.0,0.2605263292789459,-1.0
108.50053405761719,0.0,0.0,1.940000057220459,-1.0099999904632568,-0.03999999910593033,0.0,0.0,0.2605263292789459,-1.0
